"","GSM2550529_10SE2524.CEL.gz","GSM2550530_10SE2525.CEL.gz","GSM2550531_10SE2526.CEL.gz","GSM2550532_10SE2527.CEL.gz","GSM2550533_10SE2528.CEL.gz","GSM2550534_10SE2529.CEL.gz"
"AFFX-BioB-3_at",9.15308061604583,9.19823978194081,9.19890032240925,8.78556004936206,8.93678761878288,8.90528673788519
"AFFX-BioB-5_at",9.06652919079068,9.07412328175268,9.16802154385899,8.79914373720612,8.93212552962085,8.89344125821938
"AFFX-BioB-M_at",9.12632617759036,9.00074935900338,9.11234260721971,8.738377132002,8.77149065996235,8.95722647708721
"AFFX-BioC-3_at",10.520221723037,10.5698106955665,10.597561344849,10.3183281464008,10.396038293495,10.417325340819
"AFFX-BioC-5_at",10.3521840058688,10.3817281619509,10.410009393533,10.0720432340704,10.2197599437927,10.2139077751698
"AFFX-BioDn-3_at",12.4175360232737,12.4445735645729,12.4813844591907,12.3158033912349,12.3964882655927,12.4010075318358
"AFFX-BioDn-5_at",11.7755763904318,11.7627599797922,11.7524041416417,11.5655308645425,11.5922057662932,11.7074780327347
"AFFX-CreX-3_at",14.1862417988493,14.15496236959,14.1824455005808,14.2275079281319,14.099776782912,14.2896129463109
"AFFX-CreX-5_at",14.0017657731807,13.9574151159833,13.9317992629326,13.9438183737798,13.8651932966454,14.039012334331
"AFFX-DapX-3_at",10.6649040122019,10.8007645750915,10.6815530329985,10.6491335749494,10.6708599800116,10.5763573548204
"AFFX-DapX-5_at",9.32345113931101,9.51511089919542,9.4345350235718,9.37465519421069,9.45570543323861,9.18802916489701
"AFFX-DapX-M_at",10.8204425313505,10.9690265469767,10.8636483423,10.8740504226298,10.933266909213,10.8629785453571
"AFFX-Le_17SrRNA_at",12.2830259008489,12.2223758397373,12.3988165304802,12.1395365641723,12.2861608530143,12.4728281038527
"AFFX-Le_25SrRNA_at",11.2059553697674,11.3113318433311,11.0860350876353,10.2552013137498,10.2792860606235,10.8179184390844
"AFFX-Le_GlutTrans_3_at",11.6062775937767,11.2872680802292,11.3015831927667,11.4224256811474,11.4041274120104,11.7144874421088
"AFFX-Le_GlutTrans_5_at",11.1276679855983,11.032726556011,10.9660723161716,10.8384936034254,11.1673417299119,11.1270745426645
"AFFX-Le_GlutTrans_M_r_at",11.2482176115179,11.0052725659989,10.9175845590523,10.8228494359376,11.2542535677956,11.0441193784158
"AFFX-Le_PhyB2_3_at",5.15089373018137,4.83807943124678,4.71324654920187,4.73661697730811,4.86428735608019,4.83885378205655
"AFFX-Le_PhyB2_5_at",3.86530096846022,3.9002072115528,3.654240772814,3.72026734242484,3.83673849449334,3.70564754252674
"AFFX-Le_PhyB2_M_at",3.46559591694846,3.60867725719569,3.56637514198971,3.54089172796586,3.55205788811978,3.86179392233446
"AFFX-Le_Ubiquitin_3_at",9.41955080490378,9.49883053873813,9.51784281985078,10.1220508332305,9.84985347032267,10.3998954568115
"AFFX-Le_Ubiquitin_5_at",11.110064192861,11.1997058557465,11.152630525987,11.6962074028142,11.537462184497,11.9289398872308
"AFFX-Le_Ubiquitin_M_at",9.00134905271878,9.08016826588388,9.0222088049099,9.67923099975027,9.44709483618131,9.90313539049076
"AFFX-Les-actin-3_at",12.7787495036399,12.7039326686305,12.8810981196044,12.8406326773527,12.6710981747868,12.7523284617835
"AFFX-Les-actin-5_at",11.7938435640904,11.7358666504363,11.8213676087484,11.8406014005089,11.6504821551487,11.7274814080537
"AFFX-Les-actin-M_at",11.7280605857854,11.6612849620743,11.6664617687276,11.5730110800544,11.4948070108862,11.4702145243504
"AFFX-Les-ef1a-3_at",13.9560550850595,13.84289948005,13.9113533348878,13.9217759793731,13.808777703546,13.9483092987937
"AFFX-Les-ef1a-5_a_at",13.7985406378419,13.6946808565739,13.7642927772518,13.6560860371503,13.3174159698984,13.6658907024875
"AFFX-Les-ef1a-5_at",13.0849740794061,12.9576836669175,12.9976635299413,12.8396491398115,12.600766124905,12.6997359309329
"AFFX-Les-ef1a-5_x_at",12.906766076244,12.7867980956674,12.8344032793038,12.6971459556924,12.3670455833259,12.5682058224882
"AFFX-Les-ef1a-M_a_at",13.799081570092,13.6532421074796,13.7603404473827,13.8022633743573,13.4875246962894,13.8127332295386
"AFFX-Les-gapdh-3_at",13.0093856466368,12.9431263449387,13.0128178314761,12.9247860122259,12.8434307884091,12.9150951333645
"AFFX-Les-gapdh-5_at",12.9305004209623,12.9788387607778,12.9600819275209,12.8141856055178,12.7247203767235,12.7563898070311
"AFFX-Les-gapdh-M_at",13.1265875066581,13.1090641014945,13.2349679252121,13.0236044211569,12.9217476956943,12.8978179977336
"AFFX-Les-r2-Bs-dap-3_at",11.2668387862357,11.3808249737184,11.3317459165598,11.4133891778145,11.3354637446674,11.2692807449628
"AFFX-Les-r2-Bs-dap-5_at",9.93096841814656,10.0875182421799,9.97080987715302,9.96004242772959,9.97659485013294,9.81040608569367
